name,genre,trailer,poster
"Fight Club","Crime,Drama,Thriller","https://www.youtube.com/watch?v=BdJKm16Co6M","https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_.jpg"
"Inception","Action,Adventure,Sci-Fi","https://www.youtube.com/watch?v=Jvurpf91omw","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg"
"Star Wars: Episode V - The Empire Strikes Back","Action,Adventure,Fantasy","https://www.youtube.com/watch?v=JNwNXF9Y6kY","https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_.jpg"
"The Matrix","Action,Sci-Fi","https://www.youtube.com/watch?v=nUEQNVV3Gfs","https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_.jpg"
"Goodfellas","Biography,Crime,Drama","https://www.youtube.com/watch?v=qWhS8Pjf-9c","https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_.jpg"
"One Flew Over the Cuckoo's Nest","Drama","https://www.youtube.com/watch?v=NWZXL_anruA","https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_.jpg"
"Interstellar","Adventure,Drama,Sci-Fi","https://www.youtube.com/watch?v=827FNDpQWrQ","https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_.jpg"
"Se7en","Crime,Drama,Mystery","https://www.youtube.com/watch?v=UKgMoL2JQ0I","https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_.jpg"
"It's a Wonderful Life","Drama,Family,Fantasy","https://www.youtube.com/watch?v=kWumEBO97l4","https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_.jpg"
"Seven Samurai","Action,Drama","https://www.youtube.com/watch?v=fRUsjrkGs_A","https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_.jpg"
"The Silence of the Lambs","Crime,Drama,Horror","https://www.youtube.com/watch?v=Msigx2eqO6s","https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_.jpg"
"Saving Private Ryan","Drama,War","https://www.youtube.com/watch?v=RYExstiQlLc","https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_.jpg"
"City of God","Crime,Drama","https://www.youtube.com/watch?v=dcUOO4Itgmw","https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_.jpg"
"The Green Mile","Crime,Drama,Fantasy","https://www.youtube.com/watch?v=Bg7epsq0OIQ","https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg"
"Life Is Beautiful","Comedy,Drama,Romance","https://www.youtube.com/watch?v=pAYEQP8gx3w","https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_.jpg"
"Terminator 2: Judgment Day","Action,Adventure,Sci-Fi","https://www.youtube.com/watch?v=lwSysg9o7wE","https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_.jpg"
"Star Wars: Episode IV - A New Hope","Action,Adventure,Fantasy","https://www.youtube.com/watch?v=vZ734NWnAHA","https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_.jpg"
"Back to the Future","Adventure,Comedy,Sci-Fi","https://www.youtube.com/watch?v=C-4Pr9kBtGc","https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_.jpg"
"Spirited Away","Adventure,Animation,Family","https://www.youtube.com/watch?v=ByXuk9QqQkk","https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_.jpg"
"The Pianist","Biography,Drama,Music","https://www.youtube.com/watch?v=og9hFxxdSOg","https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_.jpg"
"Gladiator","Action,Adventure,Drama","https://www.youtube.com/watch?v=P5ieIbInFpg","https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_.jpg"
"Parasite","Drama,Thriller","https://www.youtube.com/watch?v=hb1iOVvkykY","https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_.jpg"
"Psycho","Drama,Horror,Mystery","https://www.youtube.com/watch?v=D90QhegiVvo","https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_.jpg"
"The Lion King","Adventure,Animation,Drama","https://www.youtube.com/watch?v=lFzVJEksoDY","https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_.jpg"
"Grave of the Fireflies","Animation,Drama,War","https://www.youtube.com/watch?v=lhlh7JVcTt8","https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_.jpg"
"The Departed","Crime,Drama,Thriller","https://www.youtube.com/watch?v=r-MiSNsCdQ4","https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_.jpg"
"Whiplash","Drama,Music","https://www.youtube.com/watch?v=Df1xkYYbYrY","https://m.media-amazon.com/images/M/MV5BMmNkODhkYjctMDMyOC00ZTNjLTkwZTItM2ExMTAxMGU1ZGQ1XkEyXkFqcGc@._V1_.jpg"
"Harakiri","Drama,Mystery","https://www.youtube.com/watch?v=gfABwM-Ppng","https://m.media-amazon.com/images/M/MV5BZThiZjU5ZDQtZDI4Mi00ZGYyLTkzOTktYmIzZTFlZTkxYzg5XkEyXkFqcGc@._V1_.jpg"
"American History X","Crime,Drama","https://www.youtube.com/watch?v=ZVAfE5cT59c","https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_.jpg"
"The Prestige","Drama,Mystery,Sci-Fi","https://www.youtube.com/watch?v=ijXruSzfGEc","https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_.jpg"
"Léon: The Professional","Action,Crime,Drama","https://www.youtube.com/watch?v=Nq101UyQyTo","https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_.jpg"
"Spider-Man: Across the Spider-Verse","Action,Adventure,Animation","https://www.youtube.com/watch?v=cqGjhVJWtEg","https://m.media-amazon.com/images/M/MV5BNThiZjA3MjItZGY5Ni00ZmJhLWEwN2EtOTBlYTA4Y2E0M2ZmXkEyXkFqcGc@._V1_.jpg"
"Casablanca","Drama,Romance,War","https://www.youtube.com/watch?v=4rguz_XRi8E","https://m.media-amazon.com/images/M/MV5BNWEzN2U1YTYtYTQyMS00NTVkLWE2NGQtZWFlMmM0MDNjMmRiXkEyXkFqcGc@._V1_.jpg"
"The Usual Suspects","Crime,Drama,Mystery","https://www.youtube.com/watch?v=jM3jrHGAsIE","https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_.jpg"
"The Intouchables","Comedy,Drama","https://www.youtube.com/watch?v=dvdJ--DV0Uo","https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_.jpg"
"Cinema Paradiso","Drama,Romance","https://www.youtube.com/watch?v=stLekU5BnbI","https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_.jpg"
"Modern Times","Comedy,Drama,Romance","https://www.youtube.com/watch?v=NNznUyDmSFc","https://m.media-amazon.com/images/M/MV5BODVkZGFhNGQtYjdiYi00Njc4LWFmYTItNTlmNzJjMTg1ZDc5XkEyXkFqcGc@._V1_.jpg"
"Alien","Horror,Sci-Fi","https://www.youtube.com/watch?v=L2VWfWC-wI4","https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_.jpg"
"Rear Window","Drama,Mystery,Thriller","https://www.youtube.com/watch?v=f9fz8q962Dc","https://m.media-amazon.com/images/M/MV5BODZhOWI1ODgtMzdiOS00YjNkLTgwOGUtYmIyZDg5ZmQwMzQ1XkEyXkFqcGc@._V1_.jpg"
"Once Upon a Time in the West","Drama,Western","https://www.youtube.com/watch?v=Yw-Av9BpC-w","https://m.media-amazon.com/images/M/MV5BZjYyNGY1MDEtN2I1MC00MGVhLTljZTYtODQ1NzQ0ODc2NzZlXkEyXkFqcGc@._V1_.jpg"
"Django Unchained","Western","https://www.youtube.com/watch?v=_iH0UBYDI4g","https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_.jpg"
"City Lights","Comedy,Drama,Romance","https://www.youtube.com/watch?v=7vl7F8S4cpQ","https://m.media-amazon.com/images/M/MV5BM2U4NjgzODUtODkyOC00YTE2LTlhNTItYzFlYmM1NTEzZDA2XkEyXkFqcGc@._V1_.jpg"
"Apocalypse Now","Drama,Mystery,War","https://www.youtube.com/watch?v=Nd2QtwblrsE","https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_.jpg"
"Dune: Part Two","Action,Adventure,Drama","https://www.youtube.com/watch?v=Way9Dexny3w","https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_.jpg"
"Memento","Mystery,Thriller","https://www.youtube.com/watch?v=Rq9eM4ZXRgs","https://m.media-amazon.com/images/M/MV5BYmQ3MjliNjAtNWFiZS00YWI1LTlmZTktMzBiNDE1NjRhZjU0XkEyXkFqcGc@._V1_.jpg"
"WALL·E","Adventure,Animation,Family","https://www.youtube.com/watch?v=8-_9n5DtKOc","https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_.jpg"
"Raiders of the Lost Ark","Action,Adventure","https://www.youtube.com/watch?v=0xQSIdSRlAk","https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_.jpg"
"The Lives of Others","Drama,Mystery,Thriller","https://www.youtube.com/watch?v=n3_iLOp6IhM","https://m.media-amazon.com/images/M/MV5BYjM1N2Q0YWEtN2E5MC00NDM3LTk2NTEtMTc1NTk5OTA5ZGIzXkEyXkFqcGc@._V1_.jpg"
"Avengers: Infinity War","Action,Adventure,Sci-Fi","https://www.youtube.com/watch?v=6ZfuNTqbHE8","https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg"
"Sunset Boulevard","Drama,Film-Noir","https://www.youtube.com/watch?v=_dY0SVxnHjQ","https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_.jpg"
"Spider-Man: Into the Spider-Verse","Action,Adventure,Animation","https://www.youtube.com/watch?v=ii3n7hYQOl4","https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg"
"Paths of Glory","Drama,War","https://www.youtube.com/watch?v=FESvZ0HG2p4","https://m.media-amazon.com/images/M/MV5BNmQ2NmI2ODYtMDQzNS00NzQyLTkzZjgtZmZlYTQ5MTc1OWU3XkEyXkFqcGc@._V1_.jpg"
"Witness for the Prosecution","Crime,Drama,Mystery","https://www.youtube.com/watch?v=CgjVcXRDU0I","https://m.media-amazon.com/images/M/MV5BNjRhNTQzMzQtMWViMi00ODQ1LTg0MTEtYWE4ZWZlYjM4YjJhXkEyXkFqcGc@._V1_.jpg"
"The Shining","Drama,Horror","https://www.youtube.com/watch?v=S014oGZiSdI","https://m.media-amazon.com/images/M/MV5BNmM5ZThhY2ItOGRjOS00NzZiLWEwYTItNDgyMjFkOTgxMmRiXkEyXkFqcGc@._V1_.jpg"
"The Great Dictator","Comedy,Drama,War","https://www.youtube.com/watch?v=k8bVG8XC-4I","https://m.media-amazon.com/images/M/MV5BMjc4ZjEwNDUtMjlmZS00NzQ4LTg2N2MtMGI3ZjMyMmM3ZDM2XkEyXkFqcGc@._V1_.jpg"
"12th Fail","Biography,Drama","https://www.youtube.com/watch?v=WeMJo701mvQ","https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_.jpg"
"Aliens","Action,Adventure,Horror","https://www.youtube.com/watch?v=Ahi3JNdCD2U","https://m.media-amazon.com/images/M/MV5BZjIyNGJhYzYtN2I1My00OTVhLWEyMzItZTVjNDMzOTVkYWViXkEyXkFqcGc@._V1_.jpg"
"Inglourious Basterds","Adventure,Drama,War","https://www.youtube.com/watch?v=QFIUD3aq_do","https://m.media-amazon.com/images/M/MV5BODZhMWJlNjYtNDExNC00MTIzLTllM2ItOGQ2NGVjNDQ3MzkzXkEyXkFqcGc@._V1_.jpg"
"The Dark Knight Rises","Action,Crime,Drama","https://www.youtube.com/watch?v=z5Humz3ONgk","https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg"
"Coco","Adventure,Animation,Drama","https://www.youtube.com/watch?v=xlnPHQ3TLX8","https://m.media-amazon.com/images/M/MV5BMDIyM2E2NTAtMzlhNy00ZGUxLWI1NjgtZDY5MzhiMDc5NGU3XkEyXkFqcGc@._V1_.jpg"
"Amadeus","Biography,Drama,Music","https://www.youtube.com/watch?v=_R4fbdzzXok","https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_.jpg"
"Toy Story","Adventure,Animation,Comedy","https://www.youtube.com/watch?v=tN1A2mVnrOM","https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_.jpg"
"Avengers: Endgame","Action,Adventure,Sci-Fi","https://www.youtube.com/watch?v=hA6hldpSTF8","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg"
"Good Will Hunting","Drama,Romance","https://www.youtube.com/watch?v=ReIJ1lbL-Q8","https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_.jpg"
"Oldboy","Action,Drama,Mystery","https://www.youtube.com/watch?v=w4UUGIIZxFU","https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_.jpg"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Comedy,War","https://www.youtube.com/watch?v=98NaJ8ss4sY","https://m.media-amazon.com/images/M/MV5BMjFjYzBlOTktMTI2OS00ZWVhLTgxMDUtNzAwODY2NmI3YTAzXkEyXkFqcGc@._V1_.jpg"
"The Chaos Class Failed the Class","Comedy","None","https://m.media-amazon.com/images/M/MV5BZmY3MjVhMmQtOTcwYy00ZjcyLWFiZDgtN2JiODVjNjQzYWQyXkEyXkFqcGc@._V1_.jpg"
"American Beauty","Drama","https://www.youtube.com/watch?v=3ycmmJ6rxA8","https://m.media-amazon.com/images/M/MV5BMDI1MDE0OTMtMmI2MS00Yjc2LTg2MTItMWExYTg5NzA1OGUzXkEyXkFqcGc@._V1_.jpg"
"Das Boot","Drama,War","https://www.youtube.com/watch?v=r37MmBuFoc0","https://m.media-amazon.com/images/M/MV5BNGU0MWZlMTUtM2Y3Ny00NGNmLWE5NmEtN2YxOWQzMGM3ZWYzXkEyXkFqcGc@._V1_.jpg"
"Braveheart","Biography,Drama,War","https://www.youtube.com/watch?v=nMft5QDOHek","https://m.media-amazon.com/images/M/MV5BNGMxZDBhNGQtYTZlNi00N2UzLWI4NDEtNmUzNWM2NTdmZDA0XkEyXkFqcGc@._V1_.jpg"
"Princess Mononoke","Adventure,Animation,Fantasy","https://www.youtube.com/watch?v=4OiMOHRDs14","https://m.media-amazon.com/images/M/MV5BNjAzODViNGEtMjBkYi00N2U5LWJjNjAtY2U0MGJhZTEwOTU0XkEyXkFqcGc@._V1_.jpg"
"Your Name.","Animation,Drama,Fantasy","https://www.youtube.com/watch?v=xU47nhruN-Q","https://m.media-amazon.com/images/M/MV5BMjI1ODZkYTgtYTY3Yy00ZTJkLWFkOTgtZDUyYWM4MzQwNjk0XkEyXkFqcGc@._V1_.jpg"
"High and Low","Crime,Drama,Mystery","https://www.youtube.com/watch?v=ELsgPvgDBoY","https://m.media-amazon.com/images/M/MV5BOTFmOTNjYjUtMDA2MC00ZTJiLThiYzktNDdjNzQwMjNkN2NmXkEyXkFqcGc@._V1_.jpg"
"3 Idiots","Comedy,Drama","https://www.youtube.com/watch?v=xvszmNXdM4w","https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_.jpg"
"Joker","Crime,Drama,Thriller","https://www.youtube.com/watch?v=t433PEQGErc","https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_.jpg"
"Once Upon a Time in America","Crime,Drama","https://www.youtube.com/watch?v=5vrbUpDihxs","https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_.jpg"
"Capernaum","Drama","https://www.youtube.com/watch?v=ULUo0048xZE","https://m.media-amazon.com/images/M/MV5BYzEyMzQ1OTktZTljZi00OWQzLWE2ZmUtZjQyNzBjYjE1NTc0XkEyXkFqcGc@._V1_.jpg"
"Singin' in the Rain","Comedy,Musical,Romance","https://www.youtube.com/watch?v=D-NJHUasYVA","https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_.jpg"
"Come and See","Drama,Thriller,War","https://www.youtube.com/watch?v=UHaSQU-4wss","https://m.media-amazon.com/images/M/MV5BNDlkZmVkZDAtZGFmMS00OWIzLWJkY2YtNWE5NjNhNjhiZGE3XkEyXkFqcGc@._V1_.jpg"
"Requiem for a Dream","Drama","https://www.youtube.com/watch?v=20YzUO_RLS0","https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_.jpg"
"Toy Story 3","Adventure,Animation,Comedy","https://www.youtube.com/watch?v=2BlMNH1QTeE","https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg"
"Star Wars: Episode VI - Return of the Jedi","Action,Adventure,Fantasy","https://www.youtube.com/watch?v=XgB4gaY2dWE","https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_.jpg"
"The Hunt","Drama","https://www.youtube.com/watch?v=0KwzEQPMppI","https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_.jpg"
"Ikiru","Drama","https://www.youtube.com/watch?v=geKhyNerWM8","https://m.media-amazon.com/images/M/MV5BZTk4OGEwNDQtOGI2MC00MTU2LTk0YTEtNmU5NTIxMWNkNDhlXkEyXkFqcGc@._V1_.jpg"
"Eternal Sunshine of the Spotless Mind","Drama,Romance,Sci-Fi","https://www.youtube.com/watch?v=yE-f1alkq9I","https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_.jpg"
"2001: A Space Odyssey","Adventure,Sci-Fi","https://www.youtube.com/watch?v=F-CmZP-imSI","https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_.jpg"
"Reservoir Dogs","Crime,Thriller","https://www.youtube.com/watch?v=2KLZ4fSXtgI","https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_.jpg"
"The Apartment","Comedy,Drama,Romance","https://www.youtube.com/watch?v=OcslkrBMLGc","https://m.media-amazon.com/images/M/MV5BNDdhMzVhOWQtNDU2Mi00ZmZmLWJiZDMtY2QxMjhjY2Y1ZTI5XkEyXkFqcGc@._V1_.jpg"
"Incendies","Drama,Mystery,War","https://www.youtube.com/watch?v=XJ69WnwvZhE","https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_.jpg"
"Lawrence of Arabia","Adventure,Biography,Drama","https://www.youtube.com/watch?v=_AznzZAlwVA","https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_.jpg"
"Scarface","Crime,Drama","https://www.youtube.com/watch?v=QyM1mQHz_2U","https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_.jpg"
"Double Indemnity","Crime,Drama,Film-Noir","https://www.youtube.com/watch?v=9oxVkwB05rU","https://m.media-amazon.com/images/M/MV5BM2YwNjZlZDktNTlmNS00ODQwLWJmNmUtYmE1NTBhYjc1YTY5XkEyXkFqcGc@._V1_.jpg"
